,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
113,Exp1,d11042021,l6WpQ,reward_learning,1.0,17.0,36.0,-1.0,0.0,308.0,-0.4585752652301842,-1.0,578.0,0.6118878506060649,1
114,Exp1,d11042021,l6WpQ,reward_learning,1.0,18.0,55.0,-1.0,0.0,355.0,-0.25336931494568643,-1.0,537.0,0.33189452610998615,1
115,Exp1,d11042021,l6WpQ,reward_learning,1.0,19.0,20.0,1.0,150.0,336.0,-0.3363249118692068,1.0,489.0,0.004097463285308624,1
116,Exp1,d11042021,l6WpQ,reward_learning,1.0,20.0,10.0,1.0,153.0,312.0,-0.4411109290357588,1.0,577.0,0.6050587451305507,1
117,Exp1,d11042021,l6WpQ,reward_learning,1.0,21.0,40.0,-1.0,0.0,430.0,0.07408698869978876,-1.0,531.0,0.29091989325690143,1
118,Exp1,d11042021,l6WpQ,reward_learning,1.0,22.0,57.0,1.0,142.0,284.0,-0.5633612823967362,1.0,476.0,-0.08468090789637486,1
119,Exp1,d11042021,l6WpQ,reward_learning,1.0,23.0,0.0,1.0,160.0,414.0,0.004229643922087387,1.0,613.0,0.8509065422490588,1
120,Exp1,d11042021,l6WpQ,reward_learning,1.0,24.0,19.0,-1.0,0.0,310.0,-0.44984309713297155,-1.0,556.0,0.46164753014475435,1
121,Exp1,d11042021,l6WpQ,reward_learning,1.0,25.0,23.0,-1.0,0.0,266.0,-0.6419507952716503,-1.0,576.0,0.5982296396550366,1
122,Exp1,d11042021,l6WpQ,reward_learning,1.0,26.0,55.0,-1.0,0.0,251.0,-0.7074420560007453,-1.0,517.0,0.19531241659970383,1
123,Exp1,d11042021,l6WpQ,reward_learning,1.0,27.0,57.0,1.0,142.0,286.0,-0.5546291142995236,1.0,421.0,-0.4602817090496512,1
124,Exp1,d11042021,l6WpQ,reward_learning,1.0,28.0,30.0,1.0,152.0,381.0,-0.13985112968192168,1.0,504.0,0.10653404541802035,1
125,Exp1,d11042021,l6WpQ,reward_learning,1.0,29.0,47.0,-1.0,0.0,382.0,-0.13548504563331534,-1.0,425.0,-0.43296528714759475,1
126,Exp1,d11042021,l6WpQ,reward_learning,1.0,30.0,32.0,1.0,142.0,316.0,-0.4236465928413335,1.0,556.0,0.46164753014475435,1
127,Exp1,d11042021,l6WpQ,reward_learning,1.0,31.0,1.0,-1.0,0.0,278.0,-0.5895577866883742,-1.0,663.0,1.1923618160247647,1
128,Exp1,d11042021,l6WpQ,reward_learning,2.0,32.0,23.0,-1.0,0.0,1486.0,4.684671744028079,-1.0,534.0,0.3114072096834438,1
129,Exp1,d11042021,l6WpQ,reward_learning,2.0,33.0,23.0,-1.0,0.0,242.0,-0.7467368124382023,-1.0,478.0,-0.07102269694534664,1
