,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
144,Exp1,d11032021,GCq3m,rating,24.0,7.0,Pica1n.jpg,3.352,19.0,-0.34821809203308346,0.6304903349253497
145,Exp1,d11032021,GCq3m,rating,25.0,9.0,Lassc1.jpg,2.86,0.0,-0.6969323221985156,-1.2077679305858997
146,Exp1,d11032021,GCq3m,rating,26.0,32.0,Macka1.jpg,3.16,12.0,-0.48430169404886164,-0.04676271026300539
147,Exp1,d11032021,GCq3m,rating,27.0,24.0,Dekoa1.jpg,3.232,4.0,-0.4332703432929447,-0.8207661904782683
148,Exp1,d11032021,GCq3m,rating,28.0,20.0,Gorc1n.jpg,2.916,4.0,-0.6572412716105802,-0.8207661904782683
149,Exp1,d11032021,GCq3m,rating,29.0,51.0,Gora1n.jpg,3.015,6.0,-0.5870731643211943,-0.6272653204244526
150,Exp1,d11032021,GCq3m,rating,30.0,27.0,Vinb1n.jpg,2.442,6.0,-0.9931976640870329,-0.6272653204244526
151,Exp1,d11032021,GCq3m,rating,31.0,1.0,Lewia1.jpg,3.727,9.0,-0.08242980684601629,-0.337014015343729
152,Exp1,d11032021,GCq3m,rating,32.0,10.0,Stera1.jpg,3.314,8.0,-0.37515130493203946,-0.4337644503706368
153,Exp1,d11032021,GCq3m,rating,33.0,38.0,Lasc1n.jpg,2.512,5.0,-0.9435838508521138,-0.7240157554513604
154,Exp1,d11032021,GCq3m,rating,34.0,39.0,Dekb1n.jpg,9.223,5.0,3.8129633008556407,-0.7240157554513604
155,Exp1,d11032021,GCq3m,rating,35.0,41.0,Vincb1.jpg,5.084,10.0,0.8793694011509173,-0.24026358031682113
156,Exp1,d11032021,GCq3m,rating,36.0,33.0,Kupc1n.jpg,3.272,8.0,-0.4049195928729912,-0.4337644503706368
157,Exp1,d11032021,GCq3m,rating,37.0,53.0,Gorka1.jpg,3.241,8.0,-0.4268914244484552,-0.4337644503706368
158,Exp1,d11032021,GCq3m,rating,38.0,59.0,Kraa1n.jpg,3.0,12.0,-0.5977046957286771,-0.04676271026300539
159,Exp1,d11032021,GCq3m,rating,39.0,42.0,Picc1n.jpg,3.049,5.0,-0.5629750264642337,-0.7240157554513604
160,Exp1,d11032021,GCq3m,rating,40.0,58.0,Mackc1.jpg,3.475,2.0,-0.2610395344917253,-1.014267060532084
161,Exp1,d11032021,GCq3m,rating,41.0,40.0,Krab1n.jpg,3.617,5.0,-0.16039437050088923,-0.7240157554513604
162,Exp1,d11032021,GCq3m,rating,42.0,29.0,Clifb1.jpg,3.554,14.0,-0.20504680241231665,0.14673815979081034
163,Exp1,d11032021,GCq3m,rating,43.0,49.0,Hinda1.jpg,3.03,32.0,-0.5764416329137119,1.8882459902751518
164,Exp1,d11032021,GCq3m,rating,44.0,34.0,Monb1n.jpg,3.233,11.0,-0.432561574532446,-0.14351314528991324
165,Exp1,d11032021,GCq3m,rating,45.0,14.0,Kupkb1.jpg,3.02,13.0,-0.5835293205187002,0.04998772476390248
166,Exp1,d11032021,GCq3m,rating,46.0,44.0,Lassf1.jpg,4.06,11.0,0.1535901904000992,-0.14351314528991324
167,Exp1,d11032021,GCq3m,rating,47.0,52.0,Picaa1.jpg,5.567,26.0,1.2217047124718603,1.3077433801137046
168,Exp1,d11032021,GCq3m,rating,48.0,18.0,Krasb1.jpg,4.062,2.0,0.15500772792109735,-1.014267060532084
169,Exp1,d11032021,GCq3m,rating,49.0,21.0,Lewb1n.jpg,3.184,8.0,-0.46729124379688936,-0.4337644503706368
170,Exp1,d11032021,GCq3m,rating,50.0,3.0,Fogeg1.jpg,3.877,18.0,0.02388550722881052,0.5337398998984418
171,Exp1,d11032021,GCq3m,rating,51.0,35.0,Wdeka1.jpg,3.84,5.0,-0.0023389369096467206,-0.7240157554513604
172,Exp1,d11032021,GCq3m,rating,52.0,4.0,Mackb1.jpg,3.8,5.0,-0.030689687329600576,-0.7240157554513604
173,Exp1,d11032021,GCq3m,rating,53.0,26.0,Clib1n.jpg,6.052,12.0,1.5654575613138,-0.04676271026300539
174,Exp1,d11032021,GCq3m,rating,54.0,48.0,Picb1n.jpg,5.751,10.0,1.352118164403648,-0.24026358031682113
175,Exp1,d11032021,GCq3m,rating,55.0,15.0,Clia1n.jpg,5.65,4.0,1.2805325195932646,-0.8207661904782683
176,Exp1,d11032021,GCq3m,rating,56.0,25.0,Clifa1.jpg,3.394,8.0,-0.31844980409213175,-0.4337644503706368
177,Exp1,d11032021,GCq3m,rating,57.0,12.0,Kupkc1.jpg,4.658,10.0,0.5774339091784095,-0.24026358031682113
178,Exp1,d11032021,GCq3m,rating,58.0,6.0,Wdekc1.jpg,3.385,5.0,-0.32482872293662163,-0.7240157554513604
179,Exp1,d11032021,GCq3m,rating,59.0,28.0,Krasa1.jpg,3.453,8.0,-0.27663244722270003,-0.4337644503706368
180,Exp1,d11032021,qBGkp,rating,0.0,49.0,Hinda1.jpg,3.241,5.0,-0.09220372183195269,-0.4728738811968869
181,Exp1,d11032021,qBGkp,rating,1.0,48.0,Picb1n.jpg,2.521,30.0,-0.40628673579981056,1.0894847571188186
182,Exp1,d11032021,qBGkp,rating,2.0,34.0,Monb1n.jpg,3.634,18.0,0.07923325662550292,0.33955261072728005
183,Exp1,d11032021,qBGkp,rating,3.0,45.0,Klia1n.jpg,2.509,2.0,-0.41152145269927487,-0.6603569177947716
