"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"805","AtJvf",25,"Exp1",0,0,8,56,50,0.602403390334332,0.291262471366815,0,1,0.5
"806","AtJvf",3,"Exp1",0,1,2,33,54,-0.590303465707817,0.498689750678493,153,1,1
"807","AtJvf",39,"Exp1",0,0,17,39,51,-0.2791625467403,0.343119291194734,0,1,1
"808","AtJvf",4,"Exp1",0,1,51,57,42,0.654260210162251,-0.123592087256541,155,1,1
"809","AtJvf",46,"Exp1",1,0,49,40,38,-0.227305726912381,-0.33101936656822,0,0.5,1
"810","AtJvf",47,"Exp1",1,0,44,55,30,0.550546570506412,-0.745873925191576,0,0.5,0.5
"811","AtJvf",52,"Exp1",0,0,31,50,59,0.291262471366815,0.757973849818091,0,1,1
"812","AtJvf",55,"Exp1",1,1,28,50,48,0.291262471366815,0.187548831710976,149,0.5,0.5
"813","AtJvf",56,"Exp1",0,0,32,32,34,-0.642160285535737,-0.538446645879898,0,1,1
"814","AtJvf",57,"Exp1",1,0,12,35,54,-0.486589826051978,0.498689750678493,0,0.5,0.5
"815","AtJvf",58,"Exp1",1,0,40,58,32,0.706117029990171,-0.642160285535737,0,1,0.5
"816","AtJvf",59,"Exp1",1,1,37,57,62,0.654260210162251,0.913544309301849,140,0,0.5
"817","azNOu",0,"Exp1",1,0,45,21,19,-0.577054238836206,-0.689467402245857,0,1,0.5
"818","azNOu",10,"Exp1",1,0,49,31,22,-0.0149884217879533,-0.520847657131381,0,0.5,0.5
"819","azNOu",11,"Exp1",1,1,36,34,31,0.153631323326522,-0.0149884217879533,157,0.5,0.5
"820","azNOu",14,"Exp1",0,0,31,22,28,-0.520847657131381,-0.183608166902429,0,1,0.5
"821","azNOu",16,"Exp1",0,0,43,36,24,0.266044486736173,-0.40843449372173,0,1,0.5
"822","azNOu",22,"Exp1",1,1,40,35,19,0.209837905031348,-0.689467402245857,154,0.5,0.5
"823","azNOu",32,"Exp1",1,1,30,26,22,-0.29602133031208,-0.520847657131381,143,0.5,0.5
"824","azNOu",38,"Exp1",0,0,39,35,25,0.209837905031348,-0.352227912016905,0,0.5,1
"825","azNOu",4,"Exp1",0,1,18,28,28,-0.183608166902429,-0.183608166902429,152,0.5,0.5
"826","azNOu",47,"Exp1",0,0,7,38,25,0.378457650145824,-0.352227912016905,0,1,1
"827","azNOu",48,"Exp1",0,1,35,43,33,0.65949055866995,0.0974247416216972,158,1,1
"828","azNOu",5,"Exp1",1,0,8,27,29,-0.239814748607254,-0.127401585197604,0,0,0.5
"829","azNOu",53,"Exp1",0,1,33,23,21,-0.464641075426556,-0.577054238836206,155,1,1
"830","azNOu",56,"Exp1",0,1,44,44,21,0.715697140374775,-0.577054238836206,150,0.5,1
"831","azNOu",57,"Exp1",1,0,51,23,23,-0.464641075426556,-0.464641075426556,0,0.5,0.5
"832","azNOu",59,"Exp1",1,1,27,20,23,-0.633260820541031,-0.464641075426556,146,1,1
"833","B73tH",14,"Exp1",1,1,39,98,98,0.694312314713817,0.694312314713817,140,0.5,0.5
"834","B73tH",18,"Exp1",0,0,56,88,97,-0.717848325382081,0.553096250704227,0,0.5,0.5
"835","B73tH",20,"Exp1",1,0,30,87,97,-0.859064389391671,0.553096250704227,0,0.5,0.5
"836","B73tH",21,"Exp1",0,1,46,89,96,-0.576632261372491,0.411880186694638,158,0,0
"837","B73tH",24,"Exp1",0,0,51,88,87,-0.717848325382081,-0.859064389391671,0,0,0
"838","B73tH",28,"Exp1",1,1,13,98,100,0.694312314713817,0.976744442732997,158,0.5,0.5
"839","B73tH",3,"Exp1",1,0,37,99,89,0.835528378723407,-0.576632261372491,0,0.5,0.5
"840","B73tH",33,"Exp1",0,0,15,98,95,0.694312314713817,0.270664122685048,0,0.5,0.5
"841","B73tH",41,"Exp1",1,0,12,95,95,0.270664122685048,0.270664122685048,0,0.5,0.5
"842","B73tH",42,"Exp1",0,1,52,99,98,0.835528378723407,0.694312314713817,144,0.5,0.5
"843","B73tH",44,"Exp1",1,1,9,99,96,0.835528378723407,0.411880186694638,149,0.5,1
"844","B73tH",45,"Exp1",0,1,17,96,97,0.411880186694638,0.553096250704227,150,0.5,0.5
"845","B73tH",55,"Exp1",0,1,5,86,95,-1.00028045340126,0.270664122685048,154,0.5,0.5
"846","B73tH",57,"Exp1",1,0,35,92,86,-0.152984069343722,-1.00028045340126,0,1,0.5
"847","B73tH",59,"Exp1",0,0,26,94,93,0.129448058675458,-0.0117680053341318,0,0,0
"848","B73tH",7,"Exp1",1,1,38,94,95,0.129448058675458,0.270664122685048,143,1,1
"849","BcmPt",1,"Exp1",0,0,17,74,50,1.04069277853737,0.0036010130745238,0,1,0.5
"850","BcmPt",13,"Exp1",1,1,50,59,56,0.392510425123092,0.262873954440236,141,1,0.5
"851","BcmPt",15,"Exp1",0,0,8,33,60,-0.731005654128327,0.435722582017378,0,0.5,0.5
"852","BcmPt",16,"Exp1",1,0,31,50,32,0.0036010130745238,-0.774217811022613,0,0.5,1
"853","BcmPt",19,"Exp1",0,0,5,58,62,0.349298268228807,0.522146895805948,0,0.5,0
"854","BcmPt",2,"Exp1",0,0,22,44,40,-0.255671928291188,-0.42852055586833,0,0.5,0.5
"855","BcmPt",23,"Exp1",1,1,4,69,63,0.824631994065946,0.565359052700234,156,1,1
"856","BcmPt",24,"Exp1",0,1,53,60,72,0.435722582017378,0.954268464748802,146,0.5,1
"857","BcmPt",27,"Exp1",1,1,34,66,28,0.69499552338309,-0.947066438599754,145,0.5,0.5
"858","BcmPt",29,"Exp1",0,1,35,56,61,0.262873954440236,0.478934738911663,141,0.5,0.5
"859","BcmPt",42,"Exp1",0,1,40,38,61,-0.5149448696569,0.478934738911663,155,0,0.5
"860","BcmPt",46,"Exp1",1,0,36,58,60,0.349298268228807,0.435722582017378,0,0.5,0.5
"861","BcmPt",49,"Exp1",1,0,51,37,27,-0.558157026551186,-0.990278595494039,0,0.5,0
"862","BcmPt",56,"Exp1",1,0,9,45,30,-0.212459771396903,-0.860642124811183,0,0.5,0.5
"863","BcmPt",57,"Exp1",1,1,44,68,43,0.78141983717166,-0.298884085185474,148,0.5,1
"864","BcmPt",59,"Exp1",0,1,14,50,58,0.0036010130745238,0.349298268228807,150,1,1
"865","bcrdM",0,"Exp1",1,1,29,84,84,-0.41140450100383,-0.41140450100383,149,0.5,0.5
"866","bcrdM",10,"Exp1",0,0,57,86,89,-0.177430377210182,0.173530808480289,0,1,0.5
"867","bcrdM",11,"Exp1",1,1,49,92,88,0.52449199417076,0.0565437465834648,146,0.5,0.5
"868","bcrdM",17,"Exp1",0,1,35,94,83,0.758466117964407,-0.528391562900653,146,0,0
"869","bcrdM",18,"Exp1",0,0,52,92,91,0.52449199417076,0.407504932273936,0,0.5,1
